연월,종목명,종목코드,시장명,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2026/01","미래산업","025560","KOSPI","13170","14290","12160","3.439893","2.572773",,,"0.003473119","29003.9257","0","1197197","57009","15709806650","748086031"
"2026/01","콘텐트리중앙","036420","KOSPI","7100","9940","6300","5.680443","2.051565",,,"0.002436432","82073.8069","4.761905","4776415","227448","34008300745","1619442893"
"2026/01","엔케이","085310","KOSPI","1174","1252","1155","1.881934","-0.39264",,,"0.001603674","1534866.0244","4.761905","19515253","929298","23594164847","1123531659"
"2026/01","웅진씽크빅","095720","KOSPI","1193","1276","1158","1.68964","1.78296",,,"0.006048416","381297.3913","0","3858324","183730","4629396506","220447453"
"2026/01","코오롱인더우","120115","KOSPI","27250","27250","23950","1.962263","1.292551",,,"0.004140555","13623.241","9.52381","279714","13320","7150561875","340502946"
"2026/01","엘브이엠씨홀딩스","900140","KOSPI","1488","1541","1427","2.097922","1.227088",,,"0.001285849","1116242.497","4.761905","15907222","757487","23651407329","1126257492"
"2026/01","비비안","002070","KOSPI","553","624","553","1.001054","2.55318",,,"0.005081925","613352.6645","4.761905","7050854","335755","4045727286","192653680"
"2026/01","아세아제지","002310","KOSPI","7780","7880","7460","1.653489","-0.647366",,,"0.000963605","334559.7225","0","3703782","176371","28331246050","1349106955"
"2026/01","현대차","005380","KOSPI","500000","549000","298500","6.437247","-0.203022",,,"0.000002594","3019003.0711","0","86482294","4118204","38638419825183","1839924753580"
"2026/01","삼화전기","009470","KOSPI","54500","54500","29550","7.875569","4.695513",,,"0.000557287","286853.7747","4.761905","10692835","509183","449932304700","21425347843"
"2026/01","삼정펄프","009770","KOSPI","32450","32900","29850","1.840919","0.692671",,,"0.02877835","4227.321","4.761905","66077","3147","2045316450","97396021"
"2026/01","LG이노텍","011070","KOSPI","245000","286000","245000","3.06334","0.877694",,,"0.000035279","208169.8519","4.761905","4900117","233339","1309806716484","62371748404"
"2026/01","세우글로벌","013000","KOSPI","1161","1188","1159","0.661495","0.825068",,,"0.015388137","122654.0681","9.52381","765689","36461","895502449","42642974"
"2026/01","대상홀딩스","084690","KOSPI","9680","9950","8900","2.449604","1.037736",,,"0.001271213","164535.9478","0","5353798","254943","52542014940","2502000711"
"2026/01","아이마켓코리아","122900","KOSPI","7800","7830","7600","0.662851","0.477583",,,"0.001347245","132645.6113","14.285714","1328194","63247","10219871565","486660551"
"2026/01","일동제약","249420","KOSPI","38050","43500","36100","3.795155","2.377204",,,"0.000073745","779372.7278","0","20354356","969255","804200762600","38295274410"
"2026/01","두산퓨얼셀","336260","KOSPI","33950","38100","29000","3.998154","-0.788436",,,"0.000134668","868799.2599","0","16216932","772235","571540283000","27216203952"
"2026/01","쏘카","403550","KOSPI","11920","12300","11400","1.727807","-0.029369",,,"0.012635702","17478.7229","4.761905","203122","9672","2432995675","115856937"
"2026/01","한솔케미칼","014680","KOSPI","282500","282500","228500","3.111751","0.110143",,,"0.000118816","79315.7857","4.761905","1761532","83882","451941155983","21521007428"
"2026/01","코웨이","021240","KOSPI","83400","85500","75300","1.913062","1.315205",,,"0.000052572","551168.2352","0","7512372","357732","592720613567","28224791122"
"2026/01","마니커","027740","KOSPI","761","785","750","0.630024","-0.586835",,,"0.004756549","348191.3394","14.285714","3123361","148731","2390355410","113826448"
"2026/01","동원수산","030720","KOSPI","5820","6070","5700","1.324316","1.356217",,,"0.008267762","52720.7983","0","494690","23557","2886050860","137430993"
