연월,종목명,종목코드,시장명,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2026/04","아진산업","013310","KOSDAQ","3730","3840","2995","2.856403","3.515234",,,"0.001839379","351030.4433","4.545455","23545439","1070247","88336083924","4015276542"
"2026/04","피델릭스","032580","KOSDAQ","1372","1372","1036","2.694694","1.147422",,,"0.007857036","379290.8651","0","6227877","283085","7545772101","342989641"
"2026/04","샌즈랩","411080","KOSDAQ","8230","8700","5930","5.008619","3.690737",,,"0.005876228","1519781.0005","0","31741699","1442805","271361804085","12334627458"
"2026/04","윙스풋","335870","KOSDAQ","1876","2085","1857","2.750093","0.621671",,,"0.090063939","22572.8065","0","579978","26363","1161870956","52812316"
"2026/04","프리시젼바이오","335810","KOSDAQ","2265","2425","2230","2.496722","-0.315241",,,"0.048840308","14554.9463","9.090909","440081","20004","1016185960","46190271"
"2026/04","티움바이오","321550","KOSDAQ","13140","13140","9230","6.624327","0.747519",,,"0.000751733","224098.0235","0","12705343","577516","136549821845","6206810084"
"2026/04","이지스","261520","KOSDAQ","7870","8800","7820","3.296866","3.75531",,,"0.005181661","40214.9432","0","1103657","50166","8991875840","408721629"
"2026/04","와이씨","232140","KOSDAQ","21850","23450","16970","4.820994","0.556243",,,"0.000171102","834491.4439","4.545455","23234622","1056119","479273321250","21785150966"
"2026/04","핸디소프트","220180","KOSDAQ","1955","2090","1911","1.737817","0.158655",,,"0.023730718","32136.8989","4.545455","682936","31043","1362311518","61923251"
"2026/04","RFHIC","218410","KOSDAQ","94300","105500","82800","7.055667","6.085646",,,"0.000068571","450826.5597","0","14090862","640494","1301982053650","59181002439"
"2026/04","링크드","193250","KOSDAQ","396","482","349","7.592157","10.576604",,,"0.037382615","269255.5179","13.636364","22736203","1136810","10357371015","517868551"
"2026/04","알엔투테크놀로지","148250","KOSDAQ","3705","5160","3500","10.817146","3.259922",,,"0.002751404","389049.4905","0","17956446","816202","83733928362","3806087653"
"2026/04","갤럭시아머니트리","094480","KOSDAQ","8520","8990","7660","3.262045","1.203491",,,"0.000891401","223092.2362","4.545455","7533617","342437","64100491925","2913658724"
"2026/04","동우팜투테이블","088910","KOSDAQ","2540","2540","2365","1.293538","0.297453",,,"0.00860045","48222.7808","13.636364","1063601","48346","2621019131","119137233"
"2026/04","인피니트헬스케어","071200","KOSDAQ","7360","7360","6000","2.986399","-0.757452",,,"0.011796334","59874.0641","0","1797017","81683","12136803345","551672879"
"2026/04","CS","065770","KOSDAQ","1584","2935","1108","14.207559","1.008052",,,"0.00135346","1739785.7804","18.181818","146085654","8115870","327889726394","18216095911"
"2026/04","다날","064260","KOSDAQ","7330","8190","5870","7.731918","9.247964",,,"0.000181984","7816381.7832","4.545455","188166091","8553004","1483042621475","67411028249"
"2026/04","KZ정밀","036560","KOSDAQ","14680","15170","14660","1.141929","-0.989382",,,"0.00229859","34279.3317","9.090909","770091","35004","11508747850","523124902"
"2026/04","아즈텍WB","032080","KOSDAQ","1363","1371","1292","0.869189","0.870097",,,"0.021131166","81978.8624","0","715968","32544","948132938","43096952"
"2026/04","대호특수강우","021045","KOSDAQ","2800","3455","2580","7.311003","13.96868",,,"1.695397324","5890.6144","9.090909","244196","11100","777541820","35342810"
"2026/04","시공테크","020710","KOSDAQ","4905","5990","3940","7.542607","10.308397",,,"0.00236229","478408.6801","9.090909","29186350","1326652","155289406981","7058609408"
"2026/04","리드코프","012700","KOSDAQ","3810","3835","3530","0.926477","-0.744761",,,"0.004198996","149946.274","4.545455","1376555","62571","5153763543","234261979"
"2026/04","채비","0011T0","KOSDAQ","21150","22550","21150","63.315585","0",,,"0.000019701","2661187.3263","0","144965088","72482544","3495228952010","1747614476005"
"2026/04","신라섬유","001000","KOSDAQ","1677","2035","1677","2.868743","0.016536",,,"0.040583234","33883.2918","0","1188163","54007","2216240024","100738183"
"2026/04","미래에셋비전스팩6호","478440","KOSDAQ","2035","2065","2035","0.393984","0.366022",,,"0.044614415","17766.8223","31.818182","147514","6705","302188641","13735847"
"2026/04","지슨","446840","KOSDAQ","1419","1561","1203","4.128748","-0.058094",,,"0.01021202","213094.7419","0","10639064","483594","14839305765","674513898"
"2026/04","티이엠씨","425040","KOSDAQ","17160","17160","12210","7.455921","10.484854",,,"0.000121996","1713790.3676","4.545455","61704155","2804734","921489689350","41885894970"
"2026/04","오픈엣지테크놀로지","394280","KOSDAQ","20450","21400","14370","4.51241","0.185062",,,"0.00070332","258025.0597","4.545455","8667655","393984","159229124370","7237687471"
"2026/04","원준","382840","KOSDAQ","9910","10620","8350","3.227063","1.315969",,,"0.00262963","158686.8868","4.545455","3971103","180505","40015133875","1818869722"
"2026/04","이지트로닉스","377330","KOSDAQ","3945","4170","3225","2.965529","-0.153477",,,"0.032372452","27980.4393","4.545455","1090874","49585","4289357259","194970785"
"2026/04","엠아이큐브솔루션","373170","KOSDAQ","3200","3745","2550","5.944483","3.736628",,,"0.01748207","99342.2786","0","3471965","157817","11542231835","524646902"
"2026/04","하이딥","365590","KOSDAQ","2035","2100","1848","2.952128","2.181868",,,"0.02001638","65837.8682","4.545455","1268351","57652","2565899020","116631774"
"2026/04","에이아이코리아","364950","KOSDAQ","7280","7290","6200","3.082548","-0.256792",,,"0.006209676","89219.5571","4.545455","3943237","179238","27986197230","1272099874"
"2026/04","넥사다이내믹스","351320","KOSDAQ","1345","1480","1236","3.468858","1.07592",,,"0.014359384","219628.4975","0","4510744","205034","6225788138","282990370"
"2026/04","엔시스","333620","KOSDAQ","7130","7340","5730","3.363433","0.915807",,,"0.007300787","93148.7467","0","6552772","297853","47490656690","2158666213"
"2026/04","CJ 바이오사이언스","311690","KOSDAQ","7790","8280","7510","2.590331","1.309551",,,"0.010790631","27568.9779","4.545455","498370","22653","3932405605","178745709"
"2026/04","더네이쳐홀딩스","298540","KOSDAQ","7990","8100","7450","1.952407","-0.275574",,,"0.009708726","26303.3928","0","400242","18193","3173855130","144266142"
"2026/04","에이텍모빌리티","224110","KOSDAQ","9380","9600","8440","1.766817","0.65611",,,"0.006424261","29384.4718","4.545455","630057","28639","5774223100","262464686"
"2026/04","타이거일렉","219130","KOSDAQ","45750","47900","27050","3.919057","0.851438",,,"0.002618061","23592.1261","0","1564652","71121","59654953375","2711588790"
"2026/04","네오오토","212560","KOSDAQ","8340","8450","7210","3.500998","2.516656",,,"0.004150218","51120.7969","9.090909","1401606","63709","11111679750","505076352"
"2026/04","파수AI","150900","KOSDAQ","5660","6200","3315","7.382668","8.846363",,,"0.007140474","1159488.3053","4.545455","59426237","2701193","339617951778","15437179626"
"2026/04","비큐AI","148780","KOSDAQ","1285","1340","1084","3.356176","-0.426928",,,"0.010642011","235151.3833","9.090909","6800233","309102","8721743220","396442874"
"2026/04","비아트론","141000","KOSDAQ","11590","11990","9770","3.437684","0.829598",,,"0.002612157","189972.3899","4.545455","3004138","136552","34040666650","1547303030"
