연월,종목명,종목코드,시장명,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2026/03","펨토바이오메드","327610","KONEX","585","895","423","9.005889","-1.102759",,,"47.419559959","6088.0469","14.285714","502256","25113","269047756","13452388"
"2026/03","광동헬스바이오","086220","KONEX","1400","1469","1230","3.443248","4.041954",,,"93.651843122","2876.0046","14.285714","21192","1247","29093937","1711408"
"2026/03","위월드","140660","KONEX","1148","2045","1148","10.068209","-1.028974",,,"907.678524418","26.6452","19.047619","2428","143","3857913","226936"
"2026/03","씨앤에스링크","245450","KONEX","1895","2245","1700","5.82036","0.685198",,,"471.448853604","572.8471","9.52381","3390","161","5906901","281281"
"2026/03","프로젠","296160","KONEX","6170","6900","5970","3.404196","3.278726",,,"0.020962564","36161.0315","4.761905","458026","21811","2808726300","133748871"
"2026/03","타이드","346010","KONEX","1100","1499","1100","5.592872","3.096542",,,"722.230734478","16.3582","33.333333","139","11","172291","13253"
"2026/03","태양3C","052960","KONEX","3595","3685","3300","2.387449","4.360896",,,"8.30668017","886.2476","0","10248","488","32706735","1557464"
"2026/03","메디젠휴먼케어","236340","KONEX","1863","1863","1501","9.369439","-0.630187",,,"16.310057589","157.4416","19.047619","19578","932","34397914","1637996"
"2026/03","노브메타파마","229500","KONEX","8790","9170","7000","4.527572","6.019411",,,"0.073309074","6703.0029","9.52381","151057","7193","1250390390","59542400"
"2026/03","에이원큐브텍","234070","KONEX","929","930","900","1.473001","1.316244",,,"252.000307464","122.7137","33.333333","2148","165","1789004","137616"
"2026/03","노드메이슨","317860","KONEX","4000","4700","4000","2.748045","2.964169",,,"42.779345675","1313.8213","9.52381","39530","2635","161644100","10776273"
"2026/03","애니메디솔루션","390110","KONEX","354","723","340","9.120486","-1.179171",,,"63.806163814","1172.8456","9.52381","146304","6967","62024982","2953571"
"2026/03","아이엠지티","456570","KONEX","11090","27550","10220","9.909218","-1.184404",,,"0.085540901","1788.2247","4.761905","198488","9452","3084081100","146861005"
"2026/03","제노텍","066830","KONEX","1300","1488","990","5.464766","0.908451",,,"370.485893229","18360.2356","23.809524","47644","2978","56801854","3550116"
"2026/03","원포유","122830","KONEX","1400","1644","1400","3.609469","4.112743",,,"1.065791179","16773.4038","4.761905","202991","9666","299643604","14268743"
"2026/03","아이케이세미콘","149010","KONEX","3500","4095","3060","5.967841","1.318595",,,"34.057069585","1575.6904","4.761905","44761","2131","152840670","7278127"
"2026/03","에스제이켐","217910","KONEX","320","374","306","5.714157","2.466928",,,"580.680233951","417.869","4.761905","41084","1956","11957251","569393"
"2026/03","엄지하우스","224810","KONEX","1812","2520","1789","7.517216","0.752669",,,"1037.94136069","141.9179","28.571429","4479","407","8890781","808253"
"2026/03","테크트랜스","258050","KONEX","449","469","359","8.360829","-0.147743",,,"135.512444001","566.6753","28.571429","56004","3734","21848805","1456587"
"2026/03","엔에스컴퍼니","224760","KONEX","2880","3050","2325","5.547293","3.802273",,,"618.017250266","57.5463","47.619048","2750","393","7558610","1079801"
"2026/03","가이아코퍼레이션","296520","KONEX","311","500","256","9.690066","-0.528351",,,"15738.076495435","0.0292","38.095238","9","1","3096","387"
"2026/03","코스텍시스템","169670","KONEX","3750","4990","3750","5.363439","-0.131507",,,"165.511304507","320.3658","14.285714","15371","732","68097760","3242750"
"2026/03","로지스몬","223220","KONEX","3130","3490","1880","9.237362","-0.763246",,,"0.969111495","3198.4255","9.52381","180975","9049","408983780","20449189"
"2026/03","미쥬","351020","KONEX","6750","8390","6750","7.502525","1.607326",,,"198.223158649","11.6044","57.142857","762","64","5771860","480988"
"2026/03","럭스피아","092590","KONEX","787","997","729","9.698976","-0.882685",,,"2743.084753297","35.1988","4.761905","1370","65","1019178","48532"
"2026/03","메디쎄이","200580","KONEX","11290","11800","11000","2.902569","-0.121176",,,"17.518465015","683.0494","4.761905","23867","1137","265677420","12651306"
"2026/03","큐라켐","456190","KONEX","7000","7200","7000","0.606161","21",,,"1.181027967","0.2743","95.238095","16","16","112000","112000"
"2026/03","에이펙스인텍","207490","KONEX","6800","7000","6600","1.129926","5.252166",,,"1.509313786","3.5","85.714286","367","46","2490820","311353"
"2026/03","안지오랩","251280","KONEX","2290","2420","2150","2.818486","5.594279",,,"1.311094225","1410.079","9.52381","22287","1061","50717990","2415142"
"2026/03","더콘텐츠온","302920","KONEX","3300","3600","3200","3.900041","5.363736",,,"382.446549972","1.2324","61.904762","130","7","438900","23100"
"2026/03","무진메디","322970","KONEX","2795","3560","2005","6.067809","0.527652",,,"0.25205623","5260.4367","0","175995","8381","513354259","24445441"
"2026/03","퓨쳐메디신","341170","KONEX","1657","2100","1380","8.328505","-0.373031",,,"3.284448669","4692.2851","0","528502","25167","897428268","42734679"
"2026/03","코나솔","176590","KONEX","2870","3100","2690","5.075584","0.581888",,,"7.096793343","444.8874","4.761905","19008","905","52232700","2487271"
