연월,종목명,종목코드,시장명,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2026/05","미래에셋비전스팩8호","0093G0","KOSDAQ","2000","2000","1993","0.09855","0.375653",,,"0.003416616","133009.6683","22.222222","258053","14336","515237078","28624282"
"2026/05","한국정밀기계","101680","KOSDAQ","2450","2990","2450","4.78463","1.513545",,,"0.015255085","85185.588","0","1644157","91342","4588327723","254907096"
"2026/05","한라IMS","092460","KOSDAQ","20550","21650","18800","3.754666","0.076295",,,"0.000783072","96947.4023","0","3503388","194633","70862615995","3936812000"
"2026/05","우리손에프앤지","073560","KOSDAQ","1577","1800","1577","1.479218","0.325213",,,"0.003684313","510223.3194","5.555556","3354559","186364","5695799504","316433306"
"2026/05","유아이디","069330","KOSDAQ","1040","1222","1007","3.523914","1.895107",,,"0.030004193","146706.0316","0","1690402","93911","1866819849","103712214"
"2026/05","비엘팜텍","065170","KOSDAQ","1823","2690","1823","8.992716","9.000738",,,"0.002639999","642311.7542","0","22720539","1262252","54104690226","3005816124"
"2026/05","유진로봇","056080","KOSDAQ","20550","27450","20550","5.027549","1.335705",,,"0.000259001","580378.7882","0","17100625","950035","452636592025","25146477335"
"2026/05","액토즈소프트","052790","KOSDAQ","4610","5550","4570","2.117172","-0.055542",,,"0.01352372","30995.316","0","558049","31003","2818931099","156607283"
"2026/05","코나아이","052400","KOSDAQ","55400","70000","55400","5.266309","2.492968",,,"0.000311881","113631.519","0","3845617","213645","238767547000","13264863722"
"2026/05","비케이홀딩스","050090","KOSDAQ","662","773","662","2.505947","-1.075194",,,"0.053241155","69651.6065","5.555556","1818451","101025","1305626903","72534828"
"2026/05","초록뱀미디어","047820","KOSDAQ","4200","6080","4200","4.477252","-0.14938",,,"0.008206521","53129.5383","5.555556","2236007","124223","12241268815","680070490"
"2026/05","유니셈","036200","KOSDAQ","10940","13010","10080","5.23201","-0.935825",,,"0.000827207","1091388.6549","0","12861920","714551","158269476595","8792748700"
"2026/05","원익","032940","KOSDAQ","7390","11280","7390","5.087938","0.568336",,,"0.00304706","63281.2809","0","3192906","177384","29788734175","1654929676"
"2026/05","소마젠","950200","KOSDAQ","3025","3535","3025","2.036176","2.624041",,,"0.01223988","99479.5313","5.555556","940219","52234","2999461962","166636776"
