일자,시가총액_전체,시가총액_외국인보유,시가총액_비율,주식수_전체,주식수_외국인보유,주식수_비율
"2026/05/29","6.933143272E9","2.774147207E9","40.01","6.0372539E7","1.174917E7","19.46"
"2026/05/28","6.691609257E9","2.674912822E9","39.97","6.0303391E7","1.1718685E7","19.43"
"2026/05/27","6.727882017E9","2.686368513E9","39.93","6.0449483E7","1.1722708E7","19.39"
"2026/05/26","6.580529391E9","2.596029842E9","39.45","6.0475409E7","1.1739484E7","19.41"
"2026/05/22","6.421467816E9","2.529344006E9","39.39","6.05427E7","1.17366E7","19.39"
