일자,시가총액_전체,시가총액_외국인보유,시가총액_비율,주식수_전체,주식수_외국인보유,주식수_비율
"2026/05/29","6.00442789E8","6.6283812E7","11.04","4.8335455E7","2714092.0","5.62"
"2026/05/28","6.17037176E8","6.7674936E7","10.97","4.8586168E7","2707198.0","5.57"
"2026/05/27","6.33385995E8","6.9490037E7","10.97","4.9009061E7","2728538.0","5.57"
"2026/05/26","6.55056623E8","7.2039423E7","11.00","4.9458968E7","2763081.0","5.59"
"2026/05/22","6.48796646E8","7.0930245E7","10.93","4.9692025E7","2752777.0","5.54"
